gene	t-test	articles	component name
PSMC3	>0.00	14743216, 17353931, 14564014, 14556007, 15221960, 15029244, 15342556, 12719574, 14665636, 12167863, 9079628, 9846577, 10806355, 11285280, 14528301, 14528300, 9048938, 9714759, 11282978, 16713569, 12809610, 12791267, 12920286, 15642098, 8125298, 11463857, 12750511, 8500623, 12914693, 12970355, 17334400, 10799514, 14527406, 9345291, 10893419, 2194290, 12477932, 9811770, 10339605, 14614829, 8811196, 12859895, 12840737, 14557625, 14610662, 12419264, 8621709, 16305752, 14550573, 9373149, 17220478, 9473509, 8323548, 8419915, 12808466, 12808465, 16169070, 15489334, 12830140	cellular process
PSMC6	>0.00	12499840, 15489334, 17353931, 14564014, 14615539, 10419517, 12719574, 15029244, 12167863, 9079628, 9846577, 11285280, 14528301, 14528300, 16501559, 11361004, 12809610, 12791267, 12920286, 15642098, 12750511, 14557625, 12914693, 11590019, 12970355, 14527406, 10893419, 12477932, 9811770, 14614829, 16341674, 8811196, 12859895, 12840737, 12419264, 8674546, 8621709, 14550573, 16189514, 9473509, 11734547, 12808466, 12808465, 9464850, 12830140, 10363644	cellular process
CLEC10A	<=0.00	15489334, 8598452, 8889548, 12477932	nucleic acid binding
ZXDA	>0.00	16964243, 14702039, 8268913, 12477932, 15772651, 17493635, 15489334	nucleic acid binding
RPL18	>0.00	17932292, 7821789, 12140684, 16964243, 15964273, 14743216, 15579683, 16507594, 11790298, 11469597, 14567916, 17934214, 17351118, 17158604, 15563613, 15635413, 12962325, 17085511, 8000007, 15679890, 16305752, 14499622, 15710684, 12826625, 15489334, 16751257, 15955926, 15189156, 17460045, 12477932, 11641402, 15470259, 15123810, 16262695, 15998802, 11454753, 9582194, 11866526, 8218404, 16307308, 15450959, 15849308, 15738400, 8722009, 11875025	translational elongation
BTN3A1	>0.00	16344560, 12477932, 9373149, 14574404, 11170752, 9149941, 9382921, 8125298, 15489334	nucleic acid binding
RPL19	>0.00	17932292, 16367971, 15489334, 15068267, 7798310, 16798888, 14567916, 12149109, 1577483, 16507594, 11744727, 15123810, 7992056, 16497834, 8668172, 16143836, 16143837, 16609016, 15128875, 11087734, 15964273, 16143838, 15143209, 17085511, 8095182, 12671093, 15189156, 15642098, 15235119, 15710684, 15701785, 16678098, 15657081, 16170454, 12535521, 12477932, 11683713, 9482869, 9395399, 15849308, 12228605, 11593046, 18676770, 8125298, 10648596, 10964405, 3542997, 15998802, 15123830, 8278499, 14615590, 1721866, 9373149, 1598220, 7789970, 15837918, 7894023, 17244347, 11401437, 15450959, 12407204, 15738400, 8722009, 11933165	synapse organization
SMPDL3A	<=0.00	12442002, 14574404, 12477932, 16344560, 15489334	nucleic acid binding
SNRPD1	>0.00	10747894, 15489334, 11756452, 16247014, 10556282, 11713266, 7527560, 12975319, 11747828, 11135666, 15130578, 10942426, 10531003, 10747849, 11748230, 14524621, 11991638, 11714716, 11780068, 12477932, 9417867, 9168134, 10725331, 10025403, 10851237, 11101529, 1701240, 11522829, 2528429, 15146077, 3260384, 12234937, 14559993, 15231747, 11226169, 10601333, 11389857, 9323129	spliceosomal snRNP assembly
PSMB10	>0.00	15356131, 14564014, 8666937, 17541830, 12417987, 12719574, 15029244, 12167863, 9079628, 9846577, 10436176, 11285280, 14528301, 14528300, 12809610, 12519221, 12920286, 12859895, 8125298, 12750511, 12791267, 12914693, 12970355, 14527406, 8268911, 10893419, 12477932, 9811770, 9373149, 14614829, 8811196, 12840737, 14557625, 18694960, 16169070, 12419264, 14550573, 9551082, 10329130, 12606494, 12808466, 12808465, 16965406, 15489334, 12830140	cellular process
RNF113A	>0.00	9224902, 17081983, 12477932, 15772651, 15345747, 15489334	nucleic acid binding
ZNF273	<=0.00	14702039, 7865130, 12477932, 9847074, 15489334, 16344560	nucleic acid binding
C16orf45	<=0.00	10493829, 14702039, 12477932, 16169070, 15489334	nucleic acid binding
LOC161527	<=0.00	14702039, 12477932	nucleic acid binding
HIST1H3E	<=0.00	9566873, 12408966, 1916825, 12477932, 19034380, 9119399, 14657027, 17052464, 11080476, 9439656, 15664198, 11689053	nucleosome assembly
ZNF154	>0.00	14702039, 7557990, 15146197, 12477932, 16344560	nucleic acid binding
ATP6V1C1	<=0.00	14702039, 10224039, 11752456, 9442887, 12890556, 9210392, 11836511, 10340843, 12477932, 16415858, 2147024, 8250920, 10440860, 14597263, 16344560, 14580332, 10221984, 12788495, 15489334	energy coupled proton transport, down electrochemical gradient
RPL14	<=0.00	17932292, 16367971, 8325628, 15964273, 16720695, 8244780, 11790298, 14567916, 15137946, 15635413, 11369516, 17085511, 16622701, 18029348, 15710683, 8125298, 18697920, 15489334, 9417904, 17460045, 12477932, 9373149, 11401437, 17081983, 15998802, 15235119, 9480843, 14633996, 1386535, 12962325, 15189156, 15738400, 8549859, 8722009, 11875025	translational elongation
RPL17	>0.00	17932292, 12837548, 11790298, 15964273, 16679460, 10568039, 14567916, 15137946, 15635413, 12746537, 17085511, 15842620, 2402465, 15701785, 15489334, 17460045, 12477932, 12454917, 15123810, 17076249, 12110581, 11744727, 15998802, 7480339, 15710684, 11875025, 12761501, 12962325, 15450959, 15189156, 9582194, 15738400, 8722009, 15635096, 8590479	translational elongation
RPL11	<=0.00	15064350, 17932292, 8879236, 7821789, 2191628, 8672129, 17460045, 15964273, 16720695, 2583083, 16367971, 16507594, 11025545, 18426907, 14567916, 11790298, 12842086, 15308643, 18560357, 16143836, 16143837, 10213627, 18389627, 15195100, 10071206, 16803902, 17116689, 16622701, 10343117, 15642098, 15710683, 15710684, 15701785, 15489334, 8282737, 15189156, 12000678, 8062839, 12815950, 7748210, 15152193, 12535521, 17535914, 12477932, 9482869, 10669795, 19287375, 8616232, 11094061, 15123810, 17076249, 14612427, 1741302, 10353821, 15998802, 19061985, 17040130, 11675593, 16452484, 16678168, 7632918, 16170454, 12962325, 2040309, 15450959, 18697920, 15849308, 9582194, 15738400, 8722009, 17599065, 11782532	cellular biopolymer metabolic process
SMAP	>0.00	12477932	nucleic acid binding
KIAA0195	>0.00	14702039, 9110174, 12477932, 15146197, 8724849, 8619474, 16344560, 15489334	nucleic acid binding
ZNF134	>0.00	7557990, 12477932	nucleic acid binding
PSMB2	>0.00	14564014, 7918633, 12719574, 15029244, 12167863, 9079628, 9846577, 10436176, 11285280, 16710414, 14528301, 14528300, 12809610, 12791267, 12920286, 12859895, 9344661, 12750511, 1602151, 12914693, 12970355, 14527406, 10893419, 11282978, 12456675, 1286667, 9811770, 12477932, 11205743, 8811196, 16305752, 12840737, 14557625, 12419264, 14550573, 7811265, 14614829, 12808466, 12808465, 15489334, 12830140	cellular process
HIST1H2AE	>0.00	16319397, 15386022, 9566873, 16702407, 16359901, 12408966, 1916825, 11709551, 15010469, 12477932, 16457589, 14657027, 9119399, 14574404, 9325046, 11080476, 15823041, 9439656, 15489334, 15078818, 11689053	nucleosome assembly
RBMS2	<=0.00	1533657, 14702039, 12477932, 8041632, 8889548, 16169070, 15489334	nucleic acid binding
HIST1H2AG	<=0.00	9566873, 12408966, 11080476, 10064132, 12477932, 14657027, 11799066, 10384058, 9439656, 8179821, 11689053	nucleosome assembly
HIST1H2AB	>0.00	9566873, 15635413, 16702407, 16359901, 12408966, 11080476, 15010469, 12477932, 15386022, 9119399, 14657027, 15078818, 14993289, 15823041, 9439656, 6647026, 11689053	nucleosome assembly
C4orf10	<=0.00	9734812, 12477932	nucleic acid binding
FAM53B	>0.00	12107410, 14702039, 8590280, 12477932, 15489334	nucleic acid binding
PCDHGB7	<=0.00	10835267, 15744052, 9182820, 10380929, 12477932, 10817752, 10716726, 11230163, 15489334	homophilic cell adhesion
FLAD1	>0.00	16189514, 14702039, 9110174, 12477932, 16643857, 8619474	nucleic acid binding
ZNF141	>0.00	16344560, 9671765, 12477932, 8268908, 15489334	nucleic acid binding
HRB2	<=0.00	12454917, 12477932	nucleic acid binding
MUM1	>0.00	14702039, 12477932, 7644523, 11042152, 8889548, 16344560	regulation of transcription, DNA-dependent
C4orf8	<=0.00	8946164, 11169226, 9734812, 12477932	nucleic acid binding
PHC2	<=0.00	15064350, 17932292, 8879236, 12167701, 2191628, 15964273, 16720695, 2583083, 16367971, 15386022, 16507594, 11025545, 9121482, 15094067, 16143836, 16143837, 10213627, 16710414, 14702039, 10071206, 12384788, 16622701, 15710683, 15710684, 15701785, 15489334, 8282737, 12000678, 8062839, 12535521, 17535914, 12477932, 9482869, 10669795, 15563468, 8616232, 11094061, 1741302, 16169070, 15998802, 16189514, 17040130, 11675593, 16452484, 16678168, 15302935, 7632918, 16170454, 9199346, 2040309, 15450959, 15849308, 15738400, 10976766, 11782532	cellular biopolymer metabolic process
SKB1	>0.00	17334359	cellular component organization
KIAA0125	<=0.00	3138112, 14702039, 8590280, 12477932	nucleic acid binding
HIST1H2BD	>0.00	12757711, 11080476, 9566873, 15635413, 16307923, 16319397, 16283522, 12408966, 1916825, 16627869, 12477932, 16457587, 16916647, 9119399, 14574404, 14657027, 9710638, 16713563, 9439656, 15489334, 11689053	nucleosome assembly
HIST1H2BE	>0.00	16916647, 12757711, 9566873, 16307923, 16319397, 16283522, 12408966, 11080476, 16627869, 12477932, 422550, 9119399, 14574404, 14657027, 16713563, 9439656, 1768865, 15489334, 11689053	nucleosome assembly
HIST1H2BG	>0.00	12757711, 11790298, 12408966, 14574404, 11859126, 9973324, 16307923, 1916825, 16916647, 9119399, 14657027, 16713563, 12860195, 15489334, 16319397, 9566873, 11080476, 12477932, 422550, 9439656, 8814229, 11689053, 16457587, 16283522, 16627869, 14595808, 8620898, 15019208	nucleosome assembly
HIST1H2BC	<=0.00	9566873, 12408966, 11080476, 12477932, 422550, 17353931, 9119399, 14657027, 9439656, 11689053	nucleosome assembly
HIST1H2BH	>0.00	12757711, 16457587, 9566873, 16307923, 16319397, 16283522, 12408966, 11080476, 16627869, 12477932, 16916647, 9119399, 14574404, 14657027, 16713563, 9439656, 11689053	nucleosome assembly
GABPB2	>0.00	14702039, 15642098, 7958862, 12477932	nucleic acid binding
SMPDL3B	<=0.00	12477932, 16710414, 15489334	nucleic acid binding
LTB4DH	<=0.00	15642098	cellular biopolymer catabolic process
ZNF250	<=0.00	14702039, 16344560, 16189514, 12477932, 15489334	nucleic acid binding
PSME3	>0.00	12784391, 15489334, 17353931, 14564014, 9344661, 18235248, 15029244, 12719574, 7675458, 12167863, 9079628, 9840465, 9846577, 11285280, 16303743, 11859414, 14528301, 14528300, 9403698, 16713569, 9218537, 12809610, 12791267, 12920286, 15642098, 12750511, 14557625, 12914693, 12970355, 1968796, 14527406, 10893419, 7951316, 12477932, 9811770, 14614829, 8811196, 12859895, 12840737, 18343811, 19091860, 16169070, 12419264, 14550573, 16189514, 9590240, 17088425, 14702039, 12808466, 12808465, 18321762, 7545954, 12830140, 18309296, 16287166	cellular process
DGCR10	>0.00	8776594, 8889548	""
SMARCC2	<=0.00	14743216, 8804307, 15302935, 10943845, 9693044, 12192000, 10078207, 9435219, 11078522, 16713569, 12665591, 15035981, 15489334, 12368262, 12477932, 11013263, 11784859, 12837248, 9845365, 11726552, 15345747, 8889548, 16169070, 11018012, 12917342, 17081983, 11238380, 9710619, 12244326, 8895581, 16199878, 11734557	chromatin remodeling
KIAA0317	<=0.00	12508121, 12477932, 9205841, 15489334	nucleic acid binding
ZNF177	<=0.00	11549323, 15489334, 8661005, 12477932	nucleic acid binding
PSMB5	>0.00	18565852, 18502982, 8753855, 14564014, 14743216, 15029244, 12719574, 7820546, 12167863, 9079628, 7864893, 9846577, 10436176, 11285280, 15488952, 14528301, 14528300, 17262013, 17353931, 16537371, 12791267, 12920286, 12859895, 15944226, 8125298, 9382924, 12808466, 12914693, 12970355, 14527406, 10893419, 10692467, 2306472, 9811770, 12477932, 9373149, 11205743, 8811196, 12840737, 14557625, 12419264, 18519783, 14550573, 8066462, 18562081, 7811265, 12809610, 14614829, 15231747, 12750511, 12808465, 15489334, 12830140	cellular process
G10	<=0.00	15875012, 16760254	cellular biosynthetic process
ZNF516	<=0.00	15302935, 9039502, 12477932	nucleic acid binding
PMS2L3	>0.00	10737800, 8586419, 12477932, 7980603	ATP binding
NAB1	>0.00	17932292, 8349573, 10806107, 15068267, 11983892, 10368186, 17853270, 8590479, 15995001, 15137946, 16143839, 16452484, 8668170, 16143837, 15659633, 11497999, 16284312, 15278455, 8374951, 15964273, 11805055, 17085511, 15146197, 7624335, 18029348, 15190002, 11784321, 15710684, 8914534, 15489334, 15815621, 12477932, 3614194, 15738400, 12215522, 11641281, 8889548, 8543042, 15998802, 15235119, 17081983, 7480339, 11445540, 8647391, 15514055, 11018254, 2904436, 9418898, 11687510, 15450959, 12030330, 15635096, 11752390, 2779571, 15785851	structural molecule activity
AOX1	>0.00	17932292, 16367971, 2191628, 8537361, 11898433, 11538123, 9030762, 2040309, 15317583, 14674763, 16306143, 18923393, 11563970, 8043023, 12481087, 12519777, 10082968, 9862501, 17085511, 12823545, 15701788, 12054535, 9692918, 11784321, 8248161, 16672219, 9952445, 17460045, 10398712, 12477932, 10998255, 15123810, 8889548, 11405094, 11289304, 15998802, 15123830, 11302742, 10669795, 7632918, 10436225, 11582571, 7744070, 17334359, 17992631, 15785851, 7570184	metal ion binding
S100A9	<=0.00	16806487, 11058579, 17620599, 10464253, 19087201, 2149559, 15075348, 15277376, 18030206, 2656677, 12553726, 15905572, 19203362, 14654085, 12477932, 19201880, 16979015, 12167632, 8341667, 17237603, 16297907, 10551823, 12748257, 12833525, 8505358, 18044712, 15598812, 18588753, 17353931, 8423249, 11851337, 3405210, 12704215, 17936757, 9570563, 11867565, 15740587, 15642721, 17050004, 12489193, 18784990, 1562590, 16613612, 17429438, 10837826, 12137245, 19248102, 18537548, 17328050, 18786929, 18060880, 15069705, 15040889, 16682612, 18922970, 3313057, 10612291, 2478889, 18927283, 18405670, 15804046, 12645005, 12626582, 17187679, 12719414, 18029348, 19122197, 18689872, 17787039, 12937135, 17895549, 16690079, 1610833, 1549365, 16253391, 17126494, 12748056, 16216873, 8400238, 18339893, 12710851, 17095618, 13130482, 16033829, 16573830, 19059406, 9920411, 16710414, 17090475, 15489334, 12218151, 17852869, 1286667, 11708798, 19175737, 11803621, 8701470, 11564187, 18803290, 17222807, 17636430, 7759097	inflammatory response
S100A8	<=0.00	16806487, 11058579, 7849642, 1610833, 19087201, 2149559, 18030206, 12553726, 12477932, 17197440, 19201880, 16979015, 10571075, 8341667, 17644317, 16297907, 12748257, 12833525, 8505358, 18044712, 15598812, 18588753, 17353931, 8423249, 12719414, 3405210, 12704215, 17936757, 18374411, 11867565, 15642721, 17050004, 12489193, 2039599, 16613612, 17069562, 10837826, 12137245, 19248102, 18537548, 17429438, 11895856, 18786929, 18060880, 15069705, 17469085, 18922970, 3313057, 11435486, 15816004, 10771424, 18405670, 15804046, 12645005, 12626582, 18689872, 17787039, 12937135, 17895549, 16690079, 8619876, 3561500, 19210342, 16216873, 8400238, 18339893, 12710851, 12480428, 13130482, 1326551, 16033829, 16573830, 17557234, 3267695, 11141076, 9920411, 16710414, 15331440, 17090475, 15489334, 12218151, 17852869, 1286667, 11708798, 18832721, 12697438, 19175737, 16169070, 8701470, 11564187, 17636430, 7759097	inflammatory response
KIAA0513	<=0.00	9110174, 12477932, 9628581, 17010949, 8619474, 15489334	nucleic acid binding
PSMD9	>0.00	14564014, 16293776, 17360176, 12719574, 10567574, 15029244, 12167863, 9079628, 9846577, 11285280, 14528301, 14528300, 18701138, 12809610, 18504423, 12791267, 12920286, 15642098, 9653651, 12750511, 14557625, 12914693, 12970355, 10799514, 14527406, 10893419, 12477932, 9811770, 14614829, 8811196, 12859895, 12840737, 16099819, 12419264, 14550573, 16189514, 12778072, 19041685, 11940657, 19118035, 14702039, 17516568, 12808466, 12808465, 15489334, 18838534, 12830140	cellular process
PSMD8	>0.00	14743216, 15489334, 17353931, 14564014, 7621825, 15057824, 15342556, 12719574, 15029244, 12167863, 9079628, 9846577, 11285280, 14528301, 14528300, 12809610, 12791267, 12920286, 12859895, 16885229, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 12477932, 9811770, 14614829, 8811196, 18029348, 12840737, 12419264, 14550573, 12808466, 12808465, 15231748, 11163772, 12830140	cellular process
APPBP1	>0.00	15642098	cellular biopolymer catabolic process
RPLP2	>0.00	12479870, 7821789, 16964243, 14981896, 14567916, 14729942, 3323886, 15635413, 16565220, 15146197, 14997482, 12379128, 10508479, 15489334, 1286669, 16807684, 12477932, 16920697, 8076819, 11401437, 9254014, 18675807, 10856704, 18422483, 17081983, 2153399, 15189156, 8722009, 11875025	translational elongation
SEC24C	>0.00	18329616, 17932292, 16367971, 2191628, 10075675, 11898433, 11538123, 7584044, 9030762, 2040309, 15317583, 14674763, 16306143, 15013749, 11563970, 12481087, 12519777, 10082968, 11252894, 9862501, 17085511, 12823545, 15701788, 17373700, 9692918, 11784321, 15489334, 9952445, 10398712, 12477932, 10998255, 10214955, 18692470, 10329445, 11405094, 11289304, 15998802, 15123830, 10669795, 11031247, 15302935, 7632918, 10436225, 11582571, 7744070, 15785851, 16189514	metal ion binding
TLOC1	>0.00	15642098	cellular biopolymer catabolic process
HNRPU	>0.00	12454917, 12477932	nucleic acid binding
ZNF167	>0.00	16189514, 14702039, 12477932, 1946370, 7814019, 1505991, 15489334	nucleic acid binding
ZNF184	>0.00	14702039, 9073517, 12477932, 18029348, 8889548, 16344560	regulation of transcription, DNA-dependent
ZNF187	<=0.00	14702039, 1569959, 12477932, 16344560	nucleic acid binding
ARHGAP19	>0.00	15164054, 14702039, 17454002, 9110174, 12477932, 12693554, 8619474, 15489334	nucleic acid binding
ZNF345	>0.00	9278146, 7865130, 15489334, 12477932, 14702039	nucleic acid binding
ACTL8	<=0.00	14702039, 12477932	nucleic acid binding
KIAA0232	>0.00	17081983, 14702039, 9039502, 12168954, 12477932, 16169070, 16344560	positive regulation of transcription
MGAT2	>0.00	2541446, 1736542, 8218172, 7635144, 9109416, 11228641, 2355006, 9367162, 8093218, 2649653, 14702039, 2829950, 8808595, 14681463, 11805078, 15489334, 3099781, 2283726, 2187500, 12477932, 8892864, 3264072, 12560567, 12621063, 2542563, 9579808, 16303743, 8673525, 7797505, 11530211	catalytic activity
GPR31	<=0.00	14574404, 12477932, 9205127	nucleic acid binding
LRRC6	<=0.00	12477932, 15489334	nucleic acid binding
IGLC1	<=0.00	16189514, 6273747, 4909564, 9074928, 7737190, 4814727, 2515285, 12477932, 3122211, 6404900, 12077254, 4215080, 4883841, 4415202, 5549568	antigen binding
RPP38	>0.00	15164054, 17474147, 9630247, 15635413, 15342556, 11455963, 8125298, 12477932, 14702039, 9373149, 10444065, 15489334, 9037013, 15096576	ribonuclease P activity
ZNF136	>0.00	16189514, 14702039, 7557990, 12477932, 7865130, 7649249, 15489334	nucleic acid binding
POLA2	<=0.00	15064350, 17932292, 8879236, 9705292, 2191628, 16964243, 15964273, 16720695, 2583083, 16367971, 16507594, 11025545, 9518481, 16143836, 16143837, 10213627, 6693436, 10071206, 16622701, 8223465, 9822671, 15231747, 15710683, 15710684, 15701785, 15489334, 12181327, 8282737, 11433027, 12000678, 8062839, 11282978, 12535521, 17535914, 12477932, 9482869, 10669795, 19237606, 8616232, 11094061, 1741302, 16169070, 1902230, 15998802, 16305752, 12546699, 17040130, 11675593, 16452484, 16678168, 15302935, 7632918, 16170454, 14702039, 2040309, 15450959, 15849308, 15738400, 14671022, 11473323, 11782532	cellular biopolymer metabolic process
RPP30	>0.00	15164054, 9630247, 15635413, 17081983, 11455963, 8125298, 12477932, 14702039, 9373149, 16344560, 11930014, 9308968, 17033964, 15489334, 9037013, 8889548, 15096576	ribonuclease P activity
PMS2L5	>0.00	8586419, 12477932, 7980603	ATP binding
MPST	<=0.00	16545926, 14702039, 15461802, 12477932, 10591208, 18029348, 9070219, 1953758, 15489334	3-mercaptopyruvate sulfurtransferase activity
RPS23	>0.00	17932292, 7821789, 15964273, 15579683, 16507594, 11469597, 15123810, 17351118, 15563613, 15635413, 12588972, 8415000, 17085511, 8000007, 15883184, 15710684, 12826625, 15489334, 15189156, 17460045, 7829101, 12477932, 11641402, 15470259, 8889548, 16262695, 15998802, 11454753, 9582194, 11866526, 14702039, 16307308, 15450959, 15849308, 15738400, 8722009, 8706699	translational elongation
RPS28	>0.00	17932292, 15964273, 17353931, 15579683, 16507594, 11469597, 17934214, 17351118, 15563613, 12588972, 8415000, 17085511, 8000007, 15883184, 15710684, 12826625, 18697920, 15489334, 15189156, 12477932, 11641402, 15470259, 16169070, 16262695, 15998802, 11454753, 16189514, 9582194, 11866526, 16307308, 15450959, 15849308, 15738400, 8722009, 8706699, 11875025, 16344560	translational elongation
PRRT1	<=0.00	14702039, 12477932, 19116923, 15489334, 14656967, 19143821	nucleic acid binding
ZMAT2	>0.00	14702039, 15642098, 15635413, 12477932, 15489334	nucleic acid binding
KIAA0247	<=0.00	15489334, 9039502, 12477932	nucleic acid binding
DNA2L	<=0.00	15642098	cellular biopolymer catabolic process
STCH	>0.00	15642098, 12354159	cellular biopolymer catabolic process
SRP14	>0.00	15064350, 17932292, 8879236, 2153922, 2191628, 15489334, 15964273, 17353931, 16720695, 2583083, 16367971, 16429126, 16507594, 11025545, 18455985, 11790298, 17200106, 16143836, 16143837, 10213627, 15635413, 16554755, 10071206, 18467557, 10921896, 16622701, 15642098, 15710683, 15710684, 15701785, 9169867, 8282737, 7542942, 12000678, 8062839, 18448120, 12535521, 17535914, 9016560, 9482869, 10669795, 7925282, 18719252, 8616232, 11094061, 1741302, 8196634, 15998802, 17040130, 11675593, 16452484, 16678168, 7632918, 16170454, 12477932, 2040309, 15450959, 15849308, 8849441, 15738400, 11089964, 2557625, 11782532	cellular biopolymer metabolic process
BTN3A2	>0.00	19204726, 12477932, 14574404, 11170752, 9149941, 9382921, 19295542, 15489334	nucleic acid binding
BTN3A3	>0.00	15340161, 10354554, 12477932, 9373149, 14574404, 11170752, 9149941, 8125298, 15489334	nucleic acid binding
MAGEA12	<=0.00	8276455, 16189514, 17634428, 12477932, 10854409, 18197853, 7927540, 8575766, 8037761, 15489334	""
TCTEL1	<=0.00	12477932, 9677391	nucleic acid binding
RPS16	>0.00	17932292, 12837548, 2016298, 15964273, 17353931, 14743216, 11683713, 7821789, 16679460, 10568039, 15137946, 15635413, 12588972, 11101529, 12746537, 18318121, 17085511, 11082045, 15883184, 15842620, 15710684, 15701785, 15489334, 11790298, 17460045, 12477932, 17881366, 12082018, 8672129, 12110581, 11744727, 8889548, 15998802, 17334359, 7480339, 9582194, 11875025, 14702039, 15450959, 18697920, 15189156, 17220478, 15738400, 8722009, 8706699, 15635096, 8590479	translational elongation
RPS18	<=0.00	17932292, 8349573, 10806107, 15068267, 11983892, 10368186, 11790298, 8590479, 15995001, 15123810, 15137946, 16143839, 16452484, 16143837, 15659633, 15635413, 11497999, 16284312, 12588972, 15278455, 8374951, 15964273, 11805055, 17085511, 1872840, 15883184, 15190002, 11784321, 15710684, 8914534, 15189156, 17460045, 12658628, 12477932, 3614194, 15738400, 7923143, 8441687, 12215522, 12145273, 10964405, 11641281, 8543042, 15679890, 15998802, 15235119, 7480339, 11445540, 8647391, 15514055, 15607421, 2904436, 14574404, 15450959, 15532723, 15635096, 9582194, 11752390, 8722009, 8706699, 2779571, 15785851	structural molecule activity
ARL4	<=0.00	12454917, 12477932	nucleic acid binding
KIAA0258	>0.00	15642098	cellular biopolymer catabolic process
MFAP3	<=0.00	14702039, 15642098, 7782085, 12477932, 15489334	nucleic acid binding
TAF1B	>0.00	11683718, 15815621, 10913176, 16344560, 15723054, 9582279, 17456004, 12477932, 12140758, 11250901, 11250903, 12646563, 15642098, 12393749, 7801123, 10894955, 18462614, 15489334	transcription regulator activity
ATP6V1F	<=0.00	8012384, 15489334, 9442887, 11836511, 10340843, 12477932, 9210392, 10440860, 14597263, 16169070, 12690205, 8621738, 10224039, 14580332, 10221984, 12788495, 8581736	energy coupled proton transport, down electrochemical gradient
IGLC2	<=0.00	6273747, 814163, 4909564, 9074928, 1249422, 4814727, 7737190, 4883841, 12077254, 12477932, 3122211, 6404900, 2115572, 4215080, 2515285, 11955599, 4415202, 5549568	antigen binding
HNRPK	>0.00	15642098	cellular biopolymer catabolic process
SFXN3	<=0.00	14702039, 12477932, 16303743	nucleic acid binding
CCT7	>0.00	15064350, 17932292, 8879236, 8641269, 2191628, 15964273, 16720695, 2583083, 16367971, 16429126, 18715871, 16507594, 11025545, 11805826, 15123810, 18780730, 16762366, 17200106, 16143836, 16143837, 10213627, 8982604, 10071206, 14660704, 14532270, 11914276, 16622701, 16085932, 15642098, 15710683, 15710684, 8125298, 15701785, 15489334, 15815621, 8282737, 7953530, 12000678, 8062839, 8771707, 16236267, 12535521, 17535914, 12477932, 9482869, 10669795, 11532003, 8616232, 11094061, 15347653, 18782753, 1741302, 16169070, 9250675, 9819444, 15998802, 15704212, 9373149, 17040130, 11675593, 16452484, 16678168, 7632918, 16170454, 2040309, 15450959, 11591653, 15849308, 8849441, 15738400, 16319894, 16287166, 11782532	cellular biopolymer metabolic process
HIST1H2BF	>0.00	9566873, 12408966, 11080476, 10064132, 12477932, 422550, 9119399, 14657027, 9439656, 11689053	nucleosome assembly
TAF13	>0.00	11533254, 15448131, 8764062, 10384286, 15875012, 17074814, 8764009, 11914276, 11805826, 15123810, 8962109, 1939271, 17200106, 2449431, 16710414, 16155567, 16554755, 9488465, 18467557, 9288741, 12138208, 8121496, 8680883, 17919657, 15642098, 12052880, 8946909, 7933101, 10521393, 15489334, 12093919, 10864925, 10788514, 12477932, 10384273, 7729427, 12878157, 11238921, 12840001, 9695952, 7835343, 11283351, 9118213, 8849441, 9054383, 17314980, 7836461, 9169872, 9405375, 8849451	RNA elongation from RNA polymerase II promoter
TAF11	>0.00	11533254, 15448131, 8764062, 8670810, 10384286, 15875012, 17074814, 8764009, 9311784, 11238911, 8083216, 18187511, 14574404, 8820923, 11805826, 15123810, 8962109, 9584164, 1939271, 17200106, 2449431, 9632676, 7667272, 16554755, 14580349, 9488465, 16407318, 9288741, 12138208, 18586732, 8121496, 9083082, 8680883, 17919657, 12052880, 15060133, 7933101, 10521393, 9153318, 9159119, 10788514, 15657423, 10384273, 12477932, 7729427, 8946909, 8662725, 10688190, 11238921, 12840001, 9045704, 9695952, 7835343, 18613951, 18805955, 11283351, 9118213, 8849441, 11940675, 16429126, 9054383, 7836461, 9169872, 9405375, 15489334, 9844640, 8849451	RNA elongation from RNA polymerase II promoter
TAF10	<=0.00	11438666, 15647753, 17200106, 2449431, 11063681, 12446794, 8121496, 9153318, 8680883, 14660704, 8946909, 10788514, 18613951, 10384273, 15123810, 10839822, 11585915, 9885573, 14499622, 9885574, 11406595, 16319894, 14718168, 15448131, 10384286, 11805826, 8962109, 1939271, 12215531, 16554755, 15380071, 9169867, 12524336, 7836461, 12093743, 15657441, 15657442, 8530084, 16888622, 8662725, 10688190, 11940675, 10751405, 9054383, 17599049, 9405375, 14660634, 8764062, 17074814, 8598193, 9742103, 12840001, 12138208, 9083082, 15260971, 12052880, 11564863, 17919657, 7923369, 11485989, 18719252, 10469660, 9844640, 9118213, 16429126, 15282323, 14580349, 12762840, 7667272, 11533254, 8764009, 9154807, 8083216, 15099517, 12101232, 8849451, 9154123, 18488019, 9288741, 18586732, 12660246, 15060133, 7933101, 15489334, 7680771, 11485988, 11158301, 9674425, 9674426, 11238921, 15659401, 16155567, 16169070, 7835343, 16407318, 8849441, 10373431, 12477932, 7729427, 15870280, 16415881	transcription initiation factor activity
PCDHB11	<=0.00	10835267, 11322959, 9182820, 10380929, 12231349, 19054571, 12477932, 10817752, 10716726, 11230163, 15489334	homophilic cell adhesion
